City_or_County,Day,Incident_Date,Incident_ID,Incident_Time,Latitude,Longitude,Month,State_Name,Total_Victims,US_Region,Victims_Injured,Victims_Killed,Year
Cleveland (Richmond Heights),4,2023-11-04,2747153,2:45 AM,41.5495,-81.5191,11,Ohio,4,Midwest,3,1,2023
Galveston,4,2023-11-04,2748287,10:50 PM,29.3079,-94.7923,11,Texas,6,South,6,0,2023
Cincinnati,3,2023-11-03,2746785,9:30 PM,39.1123,-84.524,11,Ohio,6,Midwest,5,1,2023
Dallas,1,2023-11-01,2744799,1:30 AM,32.7701,-96.7551,11,Texas,5,South,5,0,2023
Salinas,31,2023-10-31,2745105,11:30 PM,36.7031,-121.646,10,California,7,West,7,0,2023
Minneapolis,30,2023-10-30,2743289,3:18 AM,44.9638,-93.2469,10,Minnesota,4,Midwest,4,0,2023
Wilson,29,2023-10-29,2743711,12:20 AM,35.6983,-77.9314,10,North Carolina,4,South,4,0,2023
Dodge City,29,2023-10-29,2742403,1:15 AM,37.7524,-100.014,10,Kansas,4,Midwest,2,2,2023
Tampa,29,2023-10-29,2742030,2:47 AM,27.9603,-82.4414,10,Florida,17,South,15,2,2023
Indianapolis,29,2023-10-29,2742012,12:30 AM,39.8762,-86.081,10,Indiana,10,Midwest,9,1,2023
Atlanta,29,2023-10-29,2742160,5:00 AM,33.7574,-84.3823,10,Georgia,4,South,3,1,2023
Chicago,29,2023-10-29,2742143,1:00 AM,41.8645,-87.7254,10,Illinois,15,Midwest,15,0,2023
Wiggins,29,2023-10-29,2743269,,30.9243,-89.1724,10,Mississippi,4,South,3,1,2023
Azusa,29,2023-10-29,2743031,10:27 PM,34.1113,-117.913,10,California,4,West,4,0,2023
Las Cruces,28,2023-10-28,2742572,11:30 PM,32.3053,-106.733,10,New Mexico,7,West,7,0,2023
Lake Charles,28,2023-10-28,2742231,11:55 PM,30.2423,-93.1465,10,Louisiana,6,South,6,0,2023
Chula Vista,28,2023-10-28,2742471,7:16 PM,32.6217,-116.966,10,California,4,West,4,0,2023
Decatur,28,2023-10-28,2742414,11:05 PM,33.7389,-84.2832,10,Georgia,4,South,4,0,2023
Texarkana,28,2023-10-28,2741949,9:00 PM,33.4272,-94.0431,10,Texas,6,South,3,3,2023
Chicago,28,2023-10-28,2741453,12:47 AM,41.918,-87.7596,10,Illinois,4,Midwest,4,0,2023
Cumberland,28,2023-10-28,2741772,1:40 AM,39.6508,-78.7628,10,Maryland,4,South,3,1,2023
Little Rock,27,2023-10-27,2746094,5:00 PM,34.6701,-92.3623,10,Arkansas,5,South,4,1,2023
Mansfield,27,2023-10-27,2741490,11:40 PM,40.7363,-82.5083,10,Ohio,6,Midwest,4,2,2023
Clinton,26,2023-10-26,2739575,12:41 AM,34.8654,-78.3435,10,North Carolina,5,South,0,5,2023
Lewiston,25,2023-10-25,2738185,6:56 PM,44.1254,-70.1972,10,Maine,31,Northeast,13,18,2023
Greenville,24,2023-10-24,2737798,7:20 PM,35.5892,-77.3501,10,North Carolina,4,South,3,1,2023
Chicago,23,2023-10-23,2736792,9:11 PM,41.782,-87.6633,10,Illinois,4,Midwest,3,1,2023
Durango,23,2023-10-23,2737647,9:30 PM,37.2607,-107.878,10,Colorado,4,West,3,1,2023
Meridian,22,2023-10-22,2735504,,32.3626,-88.7016,10,Mississippi,4,South,3,1,2023
Pine Bluff,22,2023-10-22,2735299,12:41 AM,34.2313,-92.0202,10,Arkansas,4,South,3,1,2023
College Station,21,2023-10-21,2735026,1:38 AM,30.608,-96.3078,10,Texas,4,South,4,0,2023
Borger,21,2023-10-21,2735343,9:30 PM,35.6737,-101.39,10,Texas,4,South,3,1,2023
Santa Maria,21,2023-10-21,2735073,12:32 AM,34.9622,-120.43,10,California,4,West,3,1,2023
Fayetteville,21,2023-10-21,2735271,9:27 PM,35.0782,-78.8974,10,North Carolina,4,South,3,1,2023
Monroe,21,2023-10-21,2735817,10:16 PM,32.5136,-92.0819,10,Louisiana,6,South,5,1,2023
Oakley,21,2023-10-21,2735260,11:12 PM,37.9718,-121.727,10,California,4,West,3,1,2023
Alexandria,20,2023-10-20,2735403,6:41 PM,31.3088,-92.4627,10,Louisiana,4,South,4,0,2023
Lincoln,20,2023-10-20,2734098,12:45 AM,40.8136,-96.7026,10,Nebraska,4,Midwest,4,0,2023
Toppenish,19,2023-10-19,2733549,5:00 AM,46.3787,-120.307,10,Washington,4,West,1,3,2023
Columbus,18,2023-10-18,2733136,5:15 PM,39.9705,-82.9659,10,Ohio,4,Midwest,4,0,2023
Augusta,17,2023-10-17,2732484,6:00 PM,33.4668,-81.9494,10,Georgia,4,South,4,0,2023
Severn,16,2023-10-16,2731511,8:40 PM,39.1206,-76.7084,10,Maryland,4,South,4,0,2023
Los Angeles,16,2023-10-16,2731681,9:30 PM,34.1508,-118.366,10,California,4,West,1,3,2023
Barnwell,15,2023-10-15,2731021,12:00 AM,33.2403,-81.3989,10,South Carolina,6,South,5,1,2023
Minneapolis,15,2023-10-15,2730602,12:10 AM,44.9829,-93.2752,10,Minnesota,4,Midwest,4,0,2023
Denver,14,2023-10-14,2729845,1:37 AM,39.7718,-104.844,10,Colorado,6,West,3,3,2023
Cleveland,13,2023-10-13,2730782,11:00 PM,33.7208,-90.7189,10,Mississippi,4,South,2,2,2023
Kansas City,13,2023-10-13,2729811,4:30 PM,39.1009,-94.5421,10,Missouri,5,Midwest,5,0,2023
Princeton,12,2023-10-12,2728246,8:00 AM,45.5709,-93.7705,10,Minnesota,5,Midwest,5,0,2023
Madison,10,2023-10-10,2727876,8:00 PM,43.0985,-89.2805,10,Wisconsin,4,Midwest,3,1,2023
Chicago,8,2023-10-08,2725771,2:38 AM,41.894,-87.6356,10,Illinois,8,Midwest,8,0,2023
Indiana,8,2023-10-08,2725838,12:30 AM,40.6328,-79.1452,10,Pennsylvania,9,Northeast,8,1,2023
Gonzales,8,2023-10-08,2726444,9:00 PM,30.2484,-90.9262,10,Louisiana,7,South,7,0,2023
Chicago,7,2023-10-07,2725206,12:32 PM,41.9737,-87.6581,10,Illinois,4,Midwest,4,0,2023
Inglewood,7,2023-10-07,2725669,4:40 PM,33.9603,-118.33,10,California,5,West,3,2,2023
Reno,6,2023-10-06,2725422,10:45 PM,39.5375,-119.862,10,Nevada,7,West,7,0,2023
Florence,6,2023-10-06,2725126,10:45 PM,34.2093,-79.7562,10,South Carolina,4,South,4,0,2023
Washington,6,2023-10-06,2725133,11:30 PM,38.9118,-77.0065,10,District of Columbia,5,South,5,0,2023
Philadelphia,4,2023-10-04,2723247,7:30 PM,40.0606,-75.0741,10,Pennsylvania,4,Northeast,4,0,2023
Saint Paul,4,2023-10-04,2723237,7:47 PM,44.9775,-93.0354,10,Minnesota,4,Midwest,3,1,2023
Los Angeles,4,2023-10-04,2723347,12:45 PM,33.9547,-118.256,10,California,5,West,4,1,2023
Baltimore,3,2023-10-03,2722363,9:30 PM,39.3406,-76.5847,10,Maryland,5,South,5,0,2023
Philadelphia,2,2023-10-02,2720893,5:00 AM,40.0477,-75.1011,10,Pennsylvania,4,Northeast,1,3,2023
Toledo,1,2023-10-01,2720910,5:22 PM,41.6317,-83.5204,10,Ohio,4,Midwest,4,0,2023
Lexington,1,2023-10-01,2720112,1:40 AM,38.0486,-84.4985,10,Kentucky,4,South,4,0,2023
Chicago,1,2023-10-01,2720476,2:32 PM,41.8798,-87.702,10,Illinois,4,Midwest,2,2,2023
Omaha,1,2023-10-01,2720136,2:30 AM,41.2756,-95.947,10,Nebraska,6,Midwest,5,1,2023
Houston,1,2023-10-01,2720311,10:26 AM,29.9032,-95.627,10,Texas,4,South,2,2,2023
Jersey City,1,2023-10-01,2720526,2:36 AM,40.7158,-74.0943,10,New Jersey,5,Northeast,5,0,2023
Laredo,30,2023-09-30,2720419,10:00 PM,27.5293,-99.4889,9,Texas,4,South,4,0,2023
San Pedro,30,2023-09-30,2720128,11:35 PM,33.757,-118.299,9,California,4,West,3,1,2023
Lake Charles,29,2023-09-29,2719793,11:30 PM,30.2273,-93.1879,9,Louisiana,4,South,3,1,2023
Washington,27,2023-09-27,2717131,9:50 PM,38.9223,-76.9851,9,District of Columbia,5,South,3,2,2023
Dallas,25,2023-09-25,2715316,2:00 PM,32.7752,-96.7398,9,Texas,4,South,3,1,2023
Jacksonville,25,2023-09-25,2715722,10:30 PM,30.3898,-81.7152,9,Florida,6,South,6,0,2023
Oklahoma City,24,2023-09-24,2714225,3:00 AM,35.4383,-97.5546,9,Oklahoma,4,South,4,0,2023
Columbia,24,2023-09-24,2714677,2:00 PM,34.0963,-81.0357,9,South Carolina,4,South,1,3,2023
Jacksonville,23,2023-09-23,2714319,10:00 PM,30.2446,-81.5526,9,Florida,4,South,1,3,2023
Covington,23,2023-09-23,2714462,11:15 PM,35.6053,-89.6313,9,Tennessee,5,South,4,1,2023
Chesapeake,23,2023-09-23,2713920,5:00 PM,36.8157,-76.2564,9,Virginia,5,South,4,1,2023
Downey,23,2023-09-23,2713404,1:20 AM,33.9414,-118.132,9,California,4,West,4,0,2023
Washington,23,2023-09-23,2714081,11:59 PM,38.9004,-76.9863,9,District of Columbia,4,South,3,1,2023
Pomona,22,2023-09-22,2713409,10:45 PM,34.0589,-117.726,9,California,5,West,4,1,2023
Minneapolis,22,2023-09-22,2713882,10:40 PM,44.9484,-93.2881,9,Minnesota,4,Midwest,4,0,2023
Spring Lake,18,2023-09-18,2710366,7:45 PM,35.1664,-78.9672,9,North Carolina,4,South,3,1,2023
Charlotte,18,2023-09-18,2709172,2:30 AM,35.228,-80.8417,9,North Carolina,4,South,4,0,2023
El Paso,17,2023-09-17,2708659,1:00 AM,31.7969,-106.262,9,Texas,5,South,3,2,2023
Romeoville,17,2023-09-17,2709153,8:43 PM,41.6491,-88.0831,9,Illinois,5,Midwest,0,5,2023
Boston,17,2023-09-17,2708996,8:36 PM,42.2898,-71.0853,9,Massachusetts,5,Northeast,5,0,2023
South Bend,16,2023-09-16,2708490,10:30 PM,41.6666,-86.2821,9,Indiana,4,Midwest,4,0,2023
Denver,16,2023-09-16,2708514,11:15 PM,39.7532,-104.994,9,Colorado,5,West,5,0,2023
Tchula,15,2023-09-15,2710554,11:00 PM,33.1888,-90.2232,9,Mississippi,7,South,6,1,2023
Philadelphia,13,2023-09-13,2706325,10:30 PM,39.9879,-75.144,9,Pennsylvania,4,Northeast,4,0,2023
Palm Bay,11,2023-09-11,2704430,8:30 PM,27.9853,-80.6358,9,Florida,4,South,4,0,2023
Detroit,10,2023-09-10,2703680,7:00 PM,42.3561,-83.2186,9,Michigan,4,Midwest,2,2,2023
Indianapolis,10,2023-09-10,2703436,1:18 AM,39.8083,-86.173,9,Indiana,5,Midwest,5,0,2023
Jersey City,10,2023-09-10,2704593,2:30 AM,40.7104,-74.0796,9,New Jersey,5,Northeast,5,0,2023
Chicago,9,2023-09-09,2702902,6:20 PM,41.7764,-87.6159,9,Illinois,4,Midwest,4,0,2023
Rock Hill,9,2023-09-09,2703975,11:30 PM,34.8921,-81.0411,9,South Carolina,4,South,4,0,2023
Dallas,7,2023-09-07,2701771,4:00 PM,32.7443,-96.7583,9,Texas,4,South,3,1,2023
Brooklyn,6,2023-09-06,2700661,3:45 PM,40.6974,-73.9418,9,New York,4,Northeast,4,0,2023
Jackson,6,2023-09-06,2701037,1:30 PM,32.3469,-90.1938,9,Mississippi,4,South,3,1,2023
El Paso (Socorro),6,2023-09-06,2701233,6:05 PM,31.6198,-106.271,9,Texas,4,South,4,0,2023
Chicago,5,2023-09-05,2699229,1:35 AM,41.8762,-87.7435,9,Illinois,4,Midwest,4,0,2023
Dublin,4,2023-09-04,2699475,,32.5396,-82.9047,9,Georgia,4,South,3,1,2023
Birmingham,4,2023-09-04,2698496,2:00 AM,33.5117,-86.8223,9,Alabama,5,South,3,2,2023
Atlanta,3,2023-09-03,2698171,10:00 AM,33.7725,-84.505,9,Georgia,5,South,5,0,2023
Freeport,3,2023-09-03,2698160,12:20 AM,42.2932,-89.6135,9,Illinois,4,Midwest,3,1,2023
High Point,3,2023-09-03,2698786,8:30 PM,35.9868,-79.979,9,North Carolina,4,South,3,1,2023
Galveston,3,2023-09-03,2698107,1:25 AM,29.1144,-95.0849,9,Texas,4,South,2,2,2023
Lynn,2,2023-09-02,2697278,2:20 AM,42.4722,-70.9341,9,Massachusetts,7,Northeast,5,2,2023
Peoria,30,2023-08-30,2695354,9:00 PM,40.677,-89.6288,8,Illinois,5,Midwest,4,1,2023
Houston,30,2023-08-30,2695977,10:10 PM,29.7365,-95.4766,8,Texas,4,South,4,0,2023
Rochester,29,2023-08-29,2694045,8:15 PM,43.1588,-77.599,8,New York,4,Northeast,4,0,2023
Mansfield,27,2023-08-27,2692290,2:30 AM,40.7549,-82.5247,8,Ohio,4,Midwest,3,1,2023
Louisville,27,2023-08-27,2691802,3:00 AM,38.2546,-85.7479,8,Kentucky,6,South,4,2,2023
Detroit,27,2023-08-27,2692120,4:05 AM,42.374,-83.1474,8,Michigan,5,Midwest,4,1,2023
Cleveland,27,2023-08-27,2691769,2:31 AM,41.4582,-81.7674,8,Ohio,4,Midwest,4,0,2023
Pueblo,27,2023-08-27,2692512,1:00 AM,38.2461,-104.609,8,Colorado,4,West,3,1,2023
Orem,26,2023-08-26,2691275,1:13 AM,40.2914,-111.693,8,Utah,5,West,5,0,2023
Boston,26,2023-08-26,2690924,7:44 AM,42.2948,-71.0869,8,Massachusetts,7,Northeast,7,0,2023
Ripley,26,2023-08-26,2692026,,34.744,-88.954,8,Mississippi,4,South,4,0,2023
Tallahassee,25,2023-08-25,2690914,11:30 PM,30.4578,-84.3174,8,Florida,4,South,4,0,2023
Pasadena,25,2023-08-25,2690809,7:33 PM,34.1578,-118.149,8,California,5,West,5,0,2023
Hartville,24,2023-08-24,2690239,7:30 PM,40.9787,-81.3616,8,Ohio,4,Midwest,0,4,2023
Trabuco Canyon,23,2023-08-23,2688942,7:30 PM,33.6838,-117.62,8,California,8,West,5,3,2023
Warren (Howland),23,2023-08-23,2688888,8:00 PM,41.2056,-80.7785,8,Ohio,4,Midwest,4,0,2023
Chicago,22,2023-08-22,2688256,7:50 PM,41.8601,-87.7113,8,Illinois,4,Midwest,3,1,2023
Upper Darby,21,2023-08-21,2686943,5:00 PM,39.9497,-75.2614,8,Pennsylvania,4,Northeast,3,1,2023
