City_or_County,Day,Incident_Date,Incident_ID,Incident_Time,Latitude,Longitude,Month,State_Name,Total_Victims,US_Region,Victims_Injured,Victims_Killed,Year,State_Political_Color,State_PopEstimate,City_PopEstimate
Sacramento,4,2017-03-04,787801,,38.5554,-121.47,3,California,4,West,4,0,2017,BLUE,39358497,500777
Philadelphia,3,2017-03-03,786876,,40.0604,-75.1899,3,Pennsylvania,4,Northeast,4,0,2017,PURPLE,12787641,1580601
Riverside,3,2017-03-03,787435,,33.9406,-117.463,3,California,5,West,5,0,2017,BLUE,39358497,326882
Cincinnati,28,2017-02-28,785262,,39.1778,-84.5462,2,Ohio,6,Midwest,6,0,2017,PURPLE,11659650,301587
Newport News,27,2017-02-27,783963,,37.0849,-76.4701,2,Virginia,4,South,4,0,2017,BLUE,8463587,179447
Gary,26,2017-02-26,783623,,41.5859,-87.3567,2,Indiana,5,Midwest,4,1,2017,RED,6658078,75775
Warren,25,2017-02-25,783102,,41.2206,-80.7405,2,Ohio,5,Midwest,3,2,2017,PURPLE,11659650,39437
Jacksonville,25,2017-02-25,783090,,30.3603,-81.6765,2,Florida,5,South,4,1,2017,PURPLE,20963613,892025
Rochester,22,2017-02-22,780792,,43.1463,-77.6361,2,New York,4,Northeast,4,0,2017,BLUE,19589572,206410
Cleveland,21,2017-02-21,780036,,41.451,-81.814,2,Ohio,4,Midwest,4,0,2017,PURPLE,11659650,385252
Lauderdale,21,2017-02-21,779582,,32.434,-88.4973,2,Mississippi,4,South,0,4,2017,RED,2988510,76309
Cleveland,20,2017-02-20,778941,,41.5275,-81.6156,2,Ohio,5,Midwest,5,0,2017,PURPLE,11659650,385252
Norfolk,19,2017-02-19,778182,,36.8564,-76.2791,2,Virginia,4,South,3,1,2017,BLUE,8463587,244543
Philadelphia,18,2017-02-18,777876,9:15 PM,39.9618,-75.2297,2,Pennsylvania,4,Northeast,4,0,2017,PURPLE,12787641,1580601
South Bend,18,2017-02-18,777410,,41.6915,-86.2635,2,Indiana,4,Midwest,3,1,2017,RED,6658078,102021
Salinas,15,2017-02-15,775903,,36.6791,-121.653,2,California,4,West,4,0,2017,BLUE,39358497,156463
Chicago,15,2017-02-15,775531,,41.8213,-87.7019,2,Illinois,4,Midwest,1,3,2017,BLUE,12778828,2711069
Caruthersville,12,2017-02-12,773002,,36.1927,-89.6665,2,Missouri,6,Midwest,5,1,2017,RED,6106670,5658
Newburgh,12,2017-02-12,773162,,41.4964,-74.0191,2,New York,4,Northeast,3,1,2017,BLUE,19589572,28210
Greenville,12,2017-02-12,773908,,30.4617,-83.633,2,Florida,5,South,5,0,2017,PURPLE,20963613,821
Chicago,11,2017-02-11,772753,,41.8824,-87.7719,2,Illinois,4,Midwest,3,1,2017,BLUE,12778828,2711069
Savannah,11,2017-02-11,772989,,35.2353,-88.2328,2,Tennessee,4,South,4,0,2017,RED,6708799,6947
New Orleans,10,2017-02-10,772067,,29.9349,-90.0854,2,Louisiana,6,South,5,1,2017,RED,4670560,391493
Cleveland,8,2017-02-08,769889,,41.5463,-81.5663,2,Ohio,5,Midwest,4,1,2017,PURPLE,11659650,385252
Columbia,7,2017-02-07,769511,,34.0593,-81.0257,2,South Carolina,4,South,4,0,2017,RED,5021268,134005
Little Rock,7,2017-02-07,769859,,34.6721,-92.4265,2,Arkansas,4,South,3,1,2017,RED,3001345,198314
